,index,observed,astoro,deviation,datetime
0,10440,-99.9,-98.4,-1.5,2011-03-11 14:30:00
1,10441,-99.9,-98.4,-1.5,2011-03-11 14:30:05
2,10442,-99.9,-98.4,-1.5,2011-03-11 14:30:10
3,10443,-100.0,-98.4,-1.6,2011-03-11 14:30:15
4,10444,-100.1,-98.5,-1.6,2011-03-11 14:30:20
5,10445,-100.1,-98.5,-1.6,2011-03-11 14:30:25
6,10446,-100.0,-98.4,-1.6,2011-03-11 14:30:30
7,10447,-100.0,-98.4,-1.6,2011-03-11 14:30:35
8,10448,-100.0,-98.5,-1.5,2011-03-11 14:30:40
9,10449,-100.0,-98.5,-1.5,2011-03-11 14:30:45
10,10450,-99.9,-98.6,-1.3,2011-03-11 14:30:50
11,10451,-99.8,-98.5,-1.3,2011-03-11 14:30:55
12,10452,-99.8,-98.6,-1.2,2011-03-11 14:31:00
13,10453,-99.8,-98.6,-1.2,2011-03-11 14:31:05
14,10454,-99.8,-98.6,-1.2,2011-03-11 14:31:10
15,10455,-99.8,-98.6,-1.2,2011-03-11 14:31:15
16,10456,-99.7,-98.6,-1.1,2011-03-11 14:31:20
17,10457,-99.7,-98.7,-1.0,2011-03-11 14:31:25
18,10458,-99.6,-98.6,-1.0,2011-03-11 14:31:30
19,10459,-99.6,-98.6,-1.0,2011-03-11 14:31:35
20,10460,-99.6,-98.7,-0.9,2011-03-11 14:31:40
21,10461,-99.6,-98.6,-1.0,2011-03-11 14:31:45
22,10462,-99.6,-98.6,-1.0,2011-03-11 14:31:50
23,10463,-99.7,-98.7,-1.0,2011-03-11 14:31:55
24,10464,-99.7,-98.7,-1.0,2011-03-11 14:32:00
25,10465,-99.6,-98.7,-0.9,2011-03-11 14:32:05
26,10466,-99.7,-98.7,-1.0,2011-03-11 14:32:10
27,10467,-99.7,-98.7,-1.0,2011-03-11 14:32:15
28,10468,-99.8,-98.8,-1.0,2011-03-11 14:32:20
29,10469,-99.7,-98.8,-0.9,2011-03-11 14:32:25
30,10470,-99.6,-98.8,-0.8,2011-03-11 14:32:30
31,10471,-99.5,-98.8,-0.7,2011-03-11 14:32:35
32,10472,-99.5,-98.8,-0.7,2011-03-11 14:32:40
33,10473,-99.5,-98.8,-0.7,2011-03-11 14:32:45
34,10474,-99.5,-98.8,-0.7,2011-03-11 14:32:50
35,10475,-99.5,-98.9,-0.6,2011-03-11 14:32:55
36,10476,-99.5,-98.9,-0.6,2011-03-11 14:33:00
37,10477,-99.5,-98.9,-0.6,2011-03-11 14:33:05
38,10478,-99.4,-98.8,-0.6,2011-03-11 14:33:10
39,10479,-99.4,-98.8,-0.6,2011-03-11 14:33:15
40,10480,-99.5,-98.9,-0.6,2011-03-11 14:33:20
41,10481,-99.5,-98.9,-0.6,2011-03-11 14:33:25
42,10482,-99.6,-98.9,-0.7,2011-03-11 14:33:30
43,10483,-99.8,-99.0,-0.8,2011-03-11 14:33:35
44,10484,-99.9,-98.9,-1.0,2011-03-11 14:33:40
45,10485,-100.0,-99.0,-1.0,2011-03-11 14:33:45
46,10486,-100.2,-99.0,-1.2,2011-03-11 14:33:50
47,10487,-100.3,-99.0,-1.3,2011-03-11 14:33:55
48,10488,-100.5,-99.0,-1.5,2011-03-11 14:34:00
49,10489,-100.6,-99.0,-1.6,2011-03-11 14:34:05
50,10490,-100.6,-99.0,-1.6,2011-03-11 14:34:10
51,10491,-100.6,-99.0,-1.6,2011-03-11 14:34:15
52,10492,-100.7,-99.1,-1.6,2011-03-11 14:34:20
53,10493,-100.7,-99.0,-1.7,2011-03-11 14:34:25
54,10494,-100.9,-99.1,-1.8,2011-03-11 14:34:30
55,10495,-101.0,-99.1,-1.9,2011-03-11 14:34:35
56,10496,-101.0,-99.1,-1.9,2011-03-11 14:34:40
57,10497,-100.9,-99.1,-1.8,2011-03-11 14:34:45
58,10498,-100.8,-99.1,-1.7,2011-03-11 14:34:50
59,10499,-100.9,-99.1,-1.8,2011-03-11 14:34:55
60,10500,-100.9,-99.1,-1.8,2011-03-11 14:35:00
61,10501,-100.9,-99.2,-1.7,2011-03-11 14:35:05
62,10502,-100.7,-99.2,-1.5,2011-03-11 14:35:10
63,10503,-100.6,-99.2,-1.4,2011-03-11 14:35:15
64,10504,-100.6,-99.2,-1.4,2011-03-11 14:35:20
65,10505,-100.5,-99.2,-1.3,2011-03-11 14:35:25
66,10506,-100.5,-99.2,-1.3,2011-03-11 14:35:30
67,10507,-100.4,-99.2,-1.2,2011-03-11 14:35:35
68,10508,-100.5,-99.3,-1.2,2011-03-11 14:35:40
69,10509,-100.5,-99.3,-1.2,2011-03-11 14:35:45
70,10510,-100.4,-99.3,-1.1,2011-03-11 14:35:50
71,10511,-100.4,-99.3,-1.1,2011-03-11 14:35:55
72,10512,-100.4,-99.3,-1.1,2011-03-11 14:36:00
73,10513,-100.5,-99.3,-1.2,2011-03-11 14:36:05
74,10514,-100.5,-99.3,-1.2,2011-03-11 14:36:10
75,10515,-100.7,-99.4,-1.3,2011-03-11 14:36:15
76,10516,-100.8,-99.3,-1.5,2011-03-11 14:36:20
77,10517,-101.0,-99.4,-1.6,2011-03-11 14:36:25
78,10518,-101.1,-99.4,-1.7,2011-03-11 14:36:30
79,10519,-101.2,-99.4,-1.8,2011-03-11 14:36:35
80,10520,-101.3,-99.4,-1.9,2011-03-11 14:36:40
81,10521,-101.5,-99.4,-2.1,2011-03-11 14:36:45
82,10522,-101.7,-99.4,-2.3,2011-03-11 14:36:50
83,10523,-101.8,-99.5,-2.3,2011-03-11 14:36:55
84,10524,-101.8,-99.4,-2.4,2011-03-11 14:37:00
85,10525,-101.9,-99.5,-2.4,2011-03-11 14:37:05
86,10526,-102.0,-99.5,-2.5,2011-03-11 14:37:10
87,10527,-102.0,-99.5,-2.5,2011-03-11 14:37:15
88,10528,-102.0,-99.5,-2.5,2011-03-11 14:37:20
89,10529,-102.0,-99.5,-2.5,2011-03-11 14:37:25
90,10530,-101.9,-99.5,-2.4,2011-03-11 14:37:30
91,10531,-101.8,-99.5,-2.3,2011-03-11 14:37:35
92,10532,-101.7,-99.6,-2.1,2011-03-11 14:37:40
93,10533,-101.5,-99.6,-1.9,2011-03-11 14:37:45
94,10534,-101.4,-99.6,-1.8,2011-03-11 14:37:50
95,10535,-101.2,-99.6,-1.6,2011-03-11 14:37:55
96,10536,-101.0,-99.6,-1.4,2011-03-11 14:38:00
97,10537,-100.9,-99.6,-1.3,2011-03-11 14:38:05
98,10538,-100.8,-99.6,-1.2,2011-03-11 14:38:10
99,10539,-100.7,-99.6,-1.1,2011-03-11 14:38:15
100,10540,-100.6,-99.6,-1.0,2011-03-11 14:38:20
101,10541,-100.5,-99.7,-0.8,2011-03-11 14:38:25
102,10542,-100.5,-99.7,-0.8,2011-03-11 14:38:30
103,10543,-100.5,-99.7,-0.8,2011-03-11 14:38:35
104,10544,-100.5,-99.7,-0.8,2011-03-11 14:38:40
105,10545,-100.6,-99.7,-0.9,2011-03-11 14:38:45
106,10546,-100.7,-99.7,-1.0,2011-03-11 14:38:50
107,10547,-100.8,-99.7,-1.1,2011-03-11 14:38:55
108,10548,-100.9,-99.8,-1.1,2011-03-11 14:39:00
109,10549,-100.9,-99.7,-1.2,2011-03-11 14:39:05
110,10550,-101.0,-99.8,-1.2,2011-03-11 14:39:10
111,10551,-101.1,-99.8,-1.3,2011-03-11 14:39:15
112,10552,-101.2,-99.8,-1.4,2011-03-11 14:39:20
113,10553,-101.2,-99.8,-1.4,2011-03-11 14:39:25
114,10554,-101.3,-99.8,-1.5,2011-03-11 14:39:30
115,10555,-101.4,-99.8,-1.6,2011-03-11 14:39:35
116,10556,-101.5,-99.8,-1.7,2011-03-11 14:39:40
117,10557,-101.6,-99.8,-1.8,2011-03-11 14:39:45
118,10558,-101.6,-99.8,-1.8,2011-03-11 14:39:50
119,10559,-101.7,-99.9,-1.8,2011-03-11 14:39:55
120,10560,-101.7,-99.8,-1.9,2011-03-11 14:40:00
121,10561,-101.8,-99.8,-2.0,2011-03-11 14:40:05
122,10562,-101.9,-99.9,-2.0,2011-03-11 14:40:10
123,10563,-101.9,-99.9,-2.0,2011-03-11 14:40:15
124,10564,-101.9,-99.9,-2.0,2011-03-11 14:40:20
125,10565,-101.9,-99.9,-2.0,2011-03-11 14:40:25
126,10566,-101.9,-100.0,-1.9,2011-03-11 14:40:30
127,10567,-101.8,-99.9,-1.9,2011-03-11 14:40:35
128,10568,-101.8,-100.0,-1.8,2011-03-11 14:40:40
129,10569,-101.7,-100.0,-1.7,2011-03-11 14:40:45
130,10570,-101.6,-100.0,-1.6,2011-03-11 14:40:50
131,10571,-101.5,-100.0,-1.5,2011-03-11 14:40:55
132,10572,-101.3,-100.0,-1.3,2011-03-11 14:41:00
133,10573,-101.2,-100.0,-1.2,2011-03-11 14:41:05
134,10574,-101.2,-100.1,-1.1,2011-03-11 14:41:10
135,10575,-101.1,-100.0,-1.1,2011-03-11 14:41:15
136,10576,-101.1,-100.0,-1.1,2011-03-11 14:41:20
137,10577,-101.2,-100.1,-1.1,2011-03-11 14:41:25
138,10578,-101.2,-100.1,-1.1,2011-03-11 14:41:30
139,10579,-101.2,-100.1,-1.1,2011-03-11 14:41:35
140,10580,-101.2,-100.1,-1.1,2011-03-11 14:41:40
141,10581,-101.2,-100.1,-1.1,2011-03-11 14:41:45
142,10582,-101.3,-100.1,-1.2,2011-03-11 14:41:50
143,10583,-101.3,-100.1,-1.2,2011-03-11 14:41:55
144,10584,-101.3,-100.1,-1.2,2011-03-11 14:42:00
145,10585,-101.3,-100.1,-1.2,2011-03-11 14:42:05
146,10586,-101.4,-100.2,-1.2,2011-03-11 14:42:10
147,10587,-101.4,-100.2,-1.2,2011-03-11 14:42:15
148,10588,-101.4,-100.2,-1.2,2011-03-11 14:42:20
149,10589,-101.5,-100.2,-1.3,2011-03-11 14:42:25
150,10590,-101.6,-100.2,-1.4,2011-03-11 14:42:30
151,10591,-101.7,-100.3,-1.4,2011-03-11 14:42:35
152,10592,-101.8,-100.2,-1.6,2011-03-11 14:42:40
153,10593,-101.9,-100.3,-1.6,2011-03-11 14:42:45
154,10594,-101.9,-100.3,-1.6,2011-03-11 14:42:50
155,10595,-102.0,-100.3,-1.7,2011-03-11 14:42:55
156,10596,-102.2,-100.3,-1.9,2011-03-11 14:43:00
157,10597,-102.3,-100.3,-2.0,2011-03-11 14:43:05
158,10598,-102.4,-100.3,-2.1,2011-03-11 14:43:10
159,10599,-102.5,-100.3,-2.2,2011-03-11 14:43:15
160,10600,-102.6,-100.3,-2.3,2011-03-11 14:43:20
161,10601,-102.7,-100.3,-2.4,2011-03-11 14:43:25
162,10602,-102.7,-100.3,-2.4,2011-03-11 14:43:30
163,10603,-102.9,-100.4,-2.5,2011-03-11 14:43:35
164,10604,-103.0,-100.3,-2.7,2011-03-11 14:43:40
165,10605,-103.1,-100.3,-2.8,2011-03-11 14:43:45
166,10606,-103.3,-100.4,-2.9,2011-03-11 14:43:50
167,10607,-103.2,-100.3,-2.9,2011-03-11 14:43:55
168,10608,-103.2,-100.4,-2.8,2011-03-11 14:44:00
169,10609,-103.2,-100.4,-2.8,2011-03-11 14:44:05
170,10610,-103.3,-100.5,-2.8,2011-03-11 14:44:10
171,10611,-103.3,-100.4,-2.9,2011-03-11 14:44:15
172,10612,-103.3,-100.4,-2.9,2011-03-11 14:44:20
173,10613,-103.3,-100.4,-2.9,2011-03-11 14:44:25
174,10614,-103.2,-100.4,-2.8,2011-03-11 14:44:30
175,10615,-103.2,-100.5,-2.7,2011-03-11 14:44:35
176,10616,-103.2,-100.5,-2.7,2011-03-11 14:44:40
177,10617,-103.2,-100.5,-2.7,2011-03-11 14:44:45
178,10618,-103.2,-100.5,-2.7,2011-03-11 14:44:50
179,10619,-103.3,-100.6,-2.7,2011-03-11 14:44:55
180,10620,-103.3,-100.6,-2.7,2011-03-11 14:45:00
181,10621,-103.3,-100.6,-2.7,2011-03-11 14:45:05
182,10622,-103.2,-100.5,-2.7,2011-03-11 14:45:10
183,10623,-103.2,-100.6,-2.6,2011-03-11 14:45:15
184,10624,-103.2,-100.6,-2.6,2011-03-11 14:45:20
185,10625,-103.2,-100.6,-2.6,2011-03-11 14:45:25
186,10626,-103.3,-100.6,-2.7,2011-03-11 14:45:30
187,10627,-103.2,-100.6,-2.6,2011-03-11 14:45:35
188,10628,-103.0,-100.6,-2.4,2011-03-11 14:45:40
189,10629,-102.9,-100.6,-2.3,2011-03-11 14:45:45
190,10630,-102.8,-100.6,-2.2,2011-03-11 14:45:50
191,10631,-102.9,-100.6,-2.3,2011-03-11 14:45:55
192,10632,-103.0,-100.7,-2.3,2011-03-11 14:46:00
193,10633,-103.0,-100.7,-2.3,2011-03-11 14:46:05
194,10634,-103.0,-100.6,-2.4,2011-03-11 14:46:10
195,10635,-103.1,-100.7,-2.4,2011-03-11 14:46:15
196,10636,-103.3,-100.7,-2.6,2011-03-11 14:46:20
197,10637,-103.3,-100.7,-2.6,2011-03-11 14:46:25
198,10638,-103.4,-100.7,-2.7,2011-03-11 14:46:30
199,10639,-103.4,-100.7,-2.7,2011-03-11 14:46:35
200,10640,-103.5,-100.7,-2.8,2011-03-11 14:46:40
201,10641,-103.5,-100.7,-2.8,2011-03-11 14:46:45
202,10642,-103.6,-100.7,-2.9,2011-03-11 14:46:50
203,10643,-103.6,-100.7,-2.9,2011-03-11 14:46:55
204,10644,-103.6,-100.8,-2.8,2011-03-11 14:47:00
205,10645,-103.6,-100.8,-2.8,2011-03-11 14:47:05
206,10646,-103.5,-100.8,-2.7,2011-03-11 14:47:10
207,10647,-103.4,-100.8,-2.6,2011-03-11 14:47:15
208,10648,-103.3,-100.8,-2.5,2011-03-11 14:47:20
209,10649,-103.3,-100.8,-2.5,2011-03-11 14:47:25
210,10650,-103.1,-100.9,-2.2,2011-03-11 14:47:30
211,10651,-102.9,-100.8,-2.1,2011-03-11 14:47:35
212,10652,-102.8,-100.8,-2.0,2011-03-11 14:47:40
213,10653,-102.8,-100.8,-2.0,2011-03-11 14:47:45
214,10654,-102.8,-100.8,-2.0,2011-03-11 14:47:50
215,10655,-102.7,-100.8,-1.9,2011-03-11 14:47:55
216,10656,-102.7,-100.9,-1.8,2011-03-11 14:48:00
217,10657,-102.6,-100.9,-1.7,2011-03-11 14:48:05
218,10658,-102.4,-100.9,-1.5,2011-03-11 14:48:10
219,10659,-102.4,-100.9,-1.5,2011-03-11 14:48:15
220,10660,-102.3,-100.9,-1.4,2011-03-11 14:48:20
221,10661,-102.3,-100.9,-1.4,2011-03-11 14:48:25
222,10662,-102.2,-100.9,-1.3,2011-03-11 14:48:30
223,10663,-102.4,-101.0,-1.4,2011-03-11 14:48:35
224,10664,-102.4,-101.0,-1.4,2011-03-11 14:48:40
225,10665,-102.4,-101.0,-1.4,2011-03-11 14:48:45
226,10666,-102.4,-101.0,-1.4,2011-03-11 14:48:50
227,10667,-102.5,-101.0,-1.5,2011-03-11 14:48:55
228,10668,-102.6,-101.0,-1.6,2011-03-11 14:49:00
229,10669,-102.7,-101.0,-1.7,2011-03-11 14:49:05
230,10670,-102.9,-101.0,-1.9,2011-03-11 14:49:10
231,10671,-103.1,-101.1,-2.0,2011-03-11 14:49:15
232,10672,-103.2,-101.1,-2.1,2011-03-11 14:49:20
233,10673,-103.3,-101.0,-2.3,2011-03-11 14:49:25
234,10674,-103.4,-101.0,-2.4,2011-03-11 14:49:30
235,10675,-103.6,-101.1,-2.5,2011-03-11 14:49:35
236,10676,-103.6,-101.0,-2.6,2011-03-11 14:49:40
237,10677,-103.7,-101.1,-2.6,2011-03-11 14:49:45
238,10678,-103.9,-101.1,-2.8,2011-03-11 14:49:50
239,10679,-104.1,-101.1,-3.0,2011-03-11 14:49:55
240,10680,-104.2,-101.1,-3.1,2011-03-11 14:50:00
241,10681,-104.4,-101.1,-3.3,2011-03-11 14:50:05
242,10682,-104.6,-101.2,-3.4,2011-03-11 14:50:10
243,10683,-104.6,-101.2,-3.4,2011-03-11 14:50:15
244,10684,-104.7,-101.1,-3.6,2011-03-11 14:50:20
245,10685,-104.8,-101.1,-3.7,2011-03-11 14:50:25
246,10686,-105.0,-101.2,-3.8,2011-03-11 14:50:30
247,10687,-105.1,-101.2,-3.9,2011-03-11 14:50:35
248,10688,-105.3,-101.2,-4.1,2011-03-11 14:50:40
249,10689,-105.3,-101.2,-4.1,2011-03-11 14:50:45
250,10690,-105.4,-101.2,-4.2,2011-03-11 14:50:50
251,10691,-105.5,-101.2,-4.3,2011-03-11 14:50:55
252,10692,-105.6,-101.2,-4.4,2011-03-11 14:51:00
253,10693,-105.5,-101.2,-4.3,2011-03-11 14:51:05
254,10694,-105.5,-101.2,-4.3,2011-03-11 14:51:10
255,10695,-105.6,-101.2,-4.4,2011-03-11 14:51:15
256,10696,-105.7,-101.3,-4.4,2011-03-11 14:51:20
257,10697,-105.6,-101.3,-4.3,2011-03-11 14:51:25
258,10698,-105.6,-101.3,-4.3,2011-03-11 14:51:30
259,10699,-105.6,-101.3,-4.3,2011-03-11 14:51:35
260,10700,-105.6,-101.3,-4.3,2011-03-11 14:51:40
261,10701,-105.6,-101.3,-4.3,2011-03-11 14:51:45
262,10702,-105.6,-101.3,-4.3,2011-03-11 14:51:50
263,10703,-105.7,-101.3,-4.4,2011-03-11 14:51:55
264,10704,-105.8,-101.4,-4.4,2011-03-11 14:52:00
265,10705,-105.7,-101.3,-4.4,2011-03-11 14:52:05
266,10706,-105.9,-101.4,-4.5,2011-03-11 14:52:10
267,10707,-106.0,-101.4,-4.6,2011-03-11 14:52:15
268,10708,-106.1,-101.4,-4.7,2011-03-11 14:52:20
269,10709,-106.3,-101.4,-4.9,2011-03-11 14:52:25
270,10710,-106.3,-101.4,-4.9,2011-03-11 14:52:30
271,10711,-106.4,-101.4,-5.0,2011-03-11 14:52:35
272,10712,-106.4,-101.4,-5.0,2011-03-11 14:52:40
273,10713,-106.5,-101.4,-5.1,2011-03-11 14:52:45
274,10714,-106.5,-101.4,-5.1,2011-03-11 14:52:50
275,10715,-106.5,-101.4,-5.1,2011-03-11 14:52:55
276,10716,-106.4,-101.4,-5.0,2011-03-11 14:53:00
277,10717,-106.5,-101.5,-5.0,2011-03-11 14:53:05
278,10718,-106.6,-101.5,-5.1,2011-03-11 14:53:10
279,10719,-106.5,-101.5,-5.0,2011-03-11 14:53:15
280,10720,-106.4,-101.5,-4.9,2011-03-11 14:53:20
281,10721,-106.4,-101.5,-4.9,2011-03-11 14:53:25
282,10722,-106.2,-101.5,-4.7,2011-03-11 14:53:30
283,10723,-106.1,-101.5,-4.6,2011-03-11 14:53:35
284,10724,-106.0,-101.5,-4.5,2011-03-11 14:53:40
285,10725,-106.0,-101.5,-4.5,2011-03-11 14:53:45
286,10726,-106.0,-101.5,-4.5,2011-03-11 14:53:50
287,10727,-106.0,-101.6,-4.4,2011-03-11 14:53:55
288,10728,-105.9,-101.6,-4.3,2011-03-11 14:54:00
289,10729,-105.8,-101.6,-4.2,2011-03-11 14:54:05
290,10730,-105.8,-101.6,-4.2,2011-03-11 14:54:10
291,10731,-105.7,-101.6,-4.1,2011-03-11 14:54:15
292,10732,-105.7,-101.6,-4.1,2011-03-11 14:54:20
293,10733,-105.7,-101.6,-4.1,2011-03-11 14:54:25
294,10734,-105.7,-101.6,-4.1,2011-03-11 14:54:30
295,10735,-105.6,-101.7,-3.9,2011-03-11 14:54:35
296,10736,-105.5,-101.7,-3.8,2011-03-11 14:54:40
297,10737,-105.4,-101.7,-3.7,2011-03-11 14:54:45
298,10738,-105.3,-101.6,-3.7,2011-03-11 14:54:50
299,10739,-105.3,-101.7,-3.6,2011-03-11 14:54:55
300,10740,-105.3,-101.7,-3.6,2011-03-11 14:55:00
301,10741,-105.2,-101.7,-3.5,2011-03-11 14:55:05
302,10742,-105.1,-101.7,-3.4,2011-03-11 14:55:10
303,10743,-105.0,-101.7,-3.3,2011-03-11 14:55:15
304,10744,-105.0,-101.7,-3.3,2011-03-11 14:55:20
305,10745,-104.9,-101.7,-3.2,2011-03-11 14:55:25
306,10746,-105.0,-101.8,-3.2,2011-03-11 14:55:30
307,10747,-105.0,-101.8,-3.2,2011-03-11 14:55:35
308,10748,-105.0,-101.7,-3.3,2011-03-11 14:55:40
309,10749,-105.1,-101.8,-3.3,2011-03-11 14:55:45
310,10750,-105.1,-101.8,-3.3,2011-03-11 14:55:50
311,10751,-105.1,-101.8,-3.3,2011-03-11 14:55:55
312,10752,-105.2,-101.8,-3.4,2011-03-11 14:56:00
313,10753,-105.3,-101.8,-3.5,2011-03-11 14:56:05
314,10754,-105.4,-101.8,-3.6,2011-03-11 14:56:10
315,10755,-105.4,-101.8,-3.6,2011-03-11 14:56:15
316,10756,-105.2,-101.8,-3.4,2011-03-11 14:56:20
317,10757,-105.2,-101.8,-3.4,2011-03-11 14:56:25
318,10758,-105.2,-101.8,-3.4,2011-03-11 14:56:30
319,10759,-105.3,-101.8,-3.5,2011-03-11 14:56:35
320,10760,-105.2,-101.8,-3.4,2011-03-11 14:56:40
321,10761,-105.2,-101.8,-3.4,2011-03-11 14:56:45
322,10762,-105.1,-101.8,-3.3,2011-03-11 14:56:50
323,10763,-105.1,-101.9,-3.2,2011-03-11 14:56:55
324,10764,-105.0,-101.8,-3.2,2011-03-11 14:57:00
325,10765,-105.0,-101.9,-3.1,2011-03-11 14:57:05
326,10766,-105.0,-101.8,-3.2,2011-03-11 14:57:10
327,10767,-105.1,-101.9,-3.2,2011-03-11 14:57:15
328,10768,-105.2,-101.9,-3.3,2011-03-11 14:57:20
329,10769,-105.2,-101.9,-3.3,2011-03-11 14:57:25
330,10770,-105.4,-102.0,-3.4,2011-03-11 14:57:30
331,10771,-105.6,-101.9,-3.7,2011-03-11 14:57:35
332,10772,-105.9,-101.9,-4.0,2011-03-11 14:57:40
333,10773,-106.2,-101.9,-4.3,2011-03-11 14:57:45
334,10774,-106.5,-101.9,-4.6,2011-03-11 14:57:50
335,10775,-106.8,-102.0,-4.8,2011-03-11 14:57:55
336,10776,-106.9,-101.9,-5.0,2011-03-11 14:58:00
337,10777,-107.2,-101.9,-5.3,2011-03-11 14:58:05
338,10778,-107.5,-102.0,-5.5,2011-03-11 14:58:10
339,10779,-107.7,-102.0,-5.7,2011-03-11 14:58:15
340,10780,-107.7,-102.0,-5.7,2011-03-11 14:58:20
341,10781,-107.6,-102.1,-5.5,2011-03-11 14:58:25
342,10782,-107.4,-102.0,-5.4,2011-03-11 14:58:30
343,10783,-107.3,-102.0,-5.3,2011-03-11 14:58:35
344,10784,-107.1,-102.0,-5.1,2011-03-11 14:58:40
345,10785,-107.0,-102.1,-4.9,2011-03-11 14:58:45
346,10786,-106.8,-102.0,-4.8,2011-03-11 14:58:50
347,10787,-106.6,-102.1,-4.5,2011-03-11 14:58:55
348,10788,-106.4,-102.1,-4.3,2011-03-11 14:59:00
349,10789,-106.4,-102.1,-4.3,2011-03-11 14:59:05
350,10790,-106.4,-102.1,-4.3,2011-03-11 14:59:10
351,10791,-106.4,-102.1,-4.3,2011-03-11 14:59:15
352,10792,-106.4,-102.1,-4.3,2011-03-11 14:59:20
353,10793,-106.4,-102.1,-4.3,2011-03-11 14:59:25
354,10794,-106.4,-102.1,-4.3,2011-03-11 14:59:30
355,10795,-106.6,-102.2,-4.4,2011-03-11 14:59:35
356,10796,-106.6,-102.1,-4.5,2011-03-11 14:59:40
357,10797,-106.6,-102.1,-4.5,2011-03-11 14:59:45
358,10798,-106.6,-102.2,-4.4,2011-03-11 14:59:50
359,10799,-106.5,-102.1,-4.4,2011-03-11 14:59:55
360,10800,-106.6,-102.2,-4.4,2011-03-11 15:00:00
361,10801,-106.5,-102.1,-4.4,2011-03-11 15:00:05
362,10802,-106.5,-102.1,-4.4,2011-03-11 15:00:10
363,10803,-106.5,-102.1,-4.4,2011-03-11 15:00:15
364,10804,-106.6,-102.2,-4.4,2011-03-11 15:00:20
365,10805,-106.5,-102.2,-4.3,2011-03-11 15:00:25
366,10806,-106.4,-102.2,-4.2,2011-03-11 15:00:30
367,10807,-106.3,-102.3,-4.0,2011-03-11 15:00:35
368,10808,-106.2,-102.2,-4.0,2011-03-11 15:00:40
369,10809,-106.0,-102.2,-3.8,2011-03-11 15:00:45
370,10810,-106.0,-102.3,-3.7,2011-03-11 15:00:50
371,10811,-106.0,-102.3,-3.7,2011-03-11 15:00:55
372,10812,-105.9,-102.2,-3.7,2011-03-11 15:01:00
373,10813,-105.9,-102.2,-3.7,2011-03-11 15:01:05
374,10814,-105.8,-102.2,-3.6,2011-03-11 15:01:10
375,10815,-105.7,-102.3,-3.4,2011-03-11 15:01:15
376,10816,-105.6,-102.3,-3.3,2011-03-11 15:01:20
377,10817,-105.4,-102.3,-3.1,2011-03-11 15:01:25
378,10818,-105.3,-102.2,-3.1,2011-03-11 15:01:30
379,10819,-105.2,-102.3,-2.9,2011-03-11 15:01:35
380,10820,-105.2,-102.3,-2.9,2011-03-11 15:01:40
381,10821,-105.1,-102.3,-2.8,2011-03-11 15:01:45
382,10822,-105.1,-102.3,-2.8,2011-03-11 15:01:50
383,10823,-105.1,-102.3,-2.8,2011-03-11 15:01:55
384,10824,-105.0,-102.3,-2.7,2011-03-11 15:02:00
385,10825,-105.1,-102.4,-2.7,2011-03-11 15:02:05
386,10826,-105.2,-102.4,-2.8,2011-03-11 15:02:10
387,10827,-105.3,-102.4,-2.9,2011-03-11 15:02:15
388,10828,-105.3,-102.3,-3.0,2011-03-11 15:02:20
389,10829,-105.4,-102.3,-3.1,2011-03-11 15:02:25
390,10830,-105.5,-102.3,-3.2,2011-03-11 15:02:30
391,10831,-105.7,-102.4,-3.3,2011-03-11 15:02:35
392,10832,-105.8,-102.4,-3.4,2011-03-11 15:02:40
393,10833,-105.8,-102.3,-3.5,2011-03-11 15:02:45
394,10834,-105.8,-102.4,-3.4,2011-03-11 15:02:50
395,10835,-105.8,-102.4,-3.4,2011-03-11 15:02:55
396,10836,-105.7,-102.4,-3.3,2011-03-11 15:03:00
397,10837,-105.7,-102.4,-3.3,2011-03-11 15:03:05
398,10838,-105.7,-102.4,-3.3,2011-03-11 15:03:10
399,10839,-105.7,-102.4,-3.3,2011-03-11 15:03:15
400,10840,-105.7,-102.4,-3.3,2011-03-11 15:03:20
401,10841,-105.8,-102.5,-3.3,2011-03-11 15:03:25
402,10842,-105.8,-102.5,-3.3,2011-03-11 15:03:30
403,10843,-105.9,-102.5,-3.4,2011-03-11 15:03:35
404,10844,-105.9,-102.4,-3.5,2011-03-11 15:03:40
405,10845,-105.9,-102.4,-3.5,2011-03-11 15:03:45
406,10846,-105.8,-102.4,-3.4,2011-03-11 15:03:50
407,10847,-105.9,-102.4,-3.5,2011-03-11 15:03:55
408,10848,-106.0,-102.4,-3.6,2011-03-11 15:04:00
409,10849,-106.1,-102.5,-3.6,2011-03-11 15:04:05
410,10850,-106.1,-102.4,-3.7,2011-03-11 15:04:10
411,10851,-106.2,-102.5,-3.7,2011-03-11 15:04:15
412,10852,-106.3,-102.5,-3.8,2011-03-11 15:04:20
413,10853,-106.4,-102.5,-3.9,2011-03-11 15:04:25
414,10854,-106.5,-102.5,-4.0,2011-03-11 15:04:30
415,10855,-106.6,-102.5,-4.1,2011-03-11 15:04:35
416,10856,-106.7,-102.5,-4.2,2011-03-11 15:04:40
417,10857,-106.8,-102.5,-4.3,2011-03-11 15:04:45
418,10858,-106.9,-102.5,-4.4,2011-03-11 15:04:50
419,10859,-106.9,-102.5,-4.4,2011-03-11 15:04:55
420,10860,-106.9,-102.5,-4.4,2011-03-11 15:05:00
421,10861,-106.9,-102.5,-4.4,2011-03-11 15:05:05
422,10862,-106.9,-102.5,-4.4,2011-03-11 15:05:10
